,Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Magadan,59.5667,150.8,-12.22,86,86,1.96,RU,1616301512
1,Seynod,45.8855,6.0883,1.0,69,0,2.57,FR,1616301523
2,North Bend,43.4065,-124.2243,8.0,81,75,2.57,US,1616301524
3,Matagami,49.7502,-77.6328,4.0,35,1,3.6,CA,1616301524
4,Rikitea,-23.1203,-134.9692,26.55,74,87,3.1,PF,1616301525
5,Khatanga,71.9667,102.5,-30.42,90,63,3.28,RU,1616301525
6,Dawlatabad,36.4141,64.9053,15.12,53,5,4.06,AF,1616301525
7,Barrow,71.2906,-156.7887,-22.0,71,1,5.66,US,1616301526
8,Bubaque,11.2833,-15.8333,24.4,64,92,6.38,GW,1616301526
9,Qaanaaq,77.484,-69.3632,-22.34,95,100,0.93,GL,1616301527
10,San Cristobal,7.7669,-72.225,18.16,92,74,0.81,VE,1616301527
11,Vanavara,60.34,102.2797,-22.63,83,100,3.59,RU,1616301527
12,Acapulco de Juárez,16.8634,-99.8901,24.31,78,0,1.84,MX,1616301528
13,New Norfolk,-42.7826,147.0587,23.33,44,19,1.79,AU,1616301528
14,Nanortalik,60.1432,-45.2371,-2.26,86,100,9.93,GL,1616301529
15,Vaini,-21.2,-175.2,26.0,94,75,1.54,TO,1616301529
16,Magadan,59.5667,150.8,-12.22,86,86,1.96,RU,1616301512
17,Seynod,45.8855,6.0883,1.0,69,0,2.57,FR,1616301523
18,North Bend,43.4065,-124.2243,8.0,81,75,2.57,US,1616301524
19,Matagami,49.7502,-77.6328,4.0,35,1,3.6,CA,1616301524
20,Rikitea,-23.1203,-134.9692,26.55,74,87,3.1,PF,1616301525
21,Khatanga,71.9667,102.5,-30.42,90,63,3.28,RU,1616301525
22,Dawlatabad,36.4141,64.9053,15.12,53,5,4.06,AF,1616301525
23,Barrow,71.2906,-156.7887,-22.0,71,1,5.66,US,1616301526
24,Bubaque,11.2833,-15.8333,24.4,64,92,6.38,GW,1616301526
25,Qaanaaq,77.484,-69.3632,-22.34,95,100,0.93,GL,1616301527
26,San Cristobal,7.7669,-72.225,18.16,92,74,0.81,VE,1616301527
27,Vanavara,60.34,102.2797,-22.63,83,100,3.59,RU,1616301527
28,Acapulco de Juárez,16.8634,-99.8901,24.31,78,0,1.84,MX,1616301528
29,New Norfolk,-42.7826,147.0587,23.33,44,19,1.79,AU,1616301528
30,Nanortalik,60.1432,-45.2371,-2.26,86,100,9.93,GL,1616301529
31,Vaini,-21.2,-175.2,26.0,94,75,1.54,TO,1616301529
32,Bluff,-46.6,168.3333,13.89,80,100,4.02,NZ,1616301814
33,Saint-Philippe,-21.3585,55.7679,28.0,69,45,2.06,RE,1616301815
34,Gōtsuchō,35.0,132.2167,12.0,94,75,2.57,JP,1616301816
35,Jamestown,42.097,-79.2353,4.0,33,1,2.09,US,1616301560
36,Paris,48.8534,2.3488,5.0,93,90,2.06,FR,1616301568
37,Port Alfred,-33.5906,26.891,17.98,86,10,7.73,ZA,1616301816
38,Cape Town,-33.9258,18.4232,17.22,67,0,8.75,ZA,1616301376
39,Souillac,-20.5167,57.5167,27.0,89,75,5.14,MU,1616301817
40,Aasiaat,68.7098,-52.8699,-12.26,96,95,5.28,GL,1616301817
41,Dikson,73.5069,80.5464,-27.06,76,23,6.68,RU,1616301818
